time,volume,close,high,low,open
1585170000000,19.6665832589,6601.12,6612.24,6557.16,6593.14
1585173600000,48.5492568509,6687.35,6697.76,6601.12,6601.12
1585177200000,42.62273509,6677.52,6700,6643.82,6687.35
1585180800000,85.9473322207,6742.52,6777,6678.28,6678.3
1585184400000,65.1369990367,6691.28,6748.87,6674.41,6741.1
1585188000000,34.84974911,6684.12,6704.55,6654.27,6691.28
1585191600000,95.53167589,6727.55,6744.65,6668.87,6687.23
1585195200000,66.341397587,6690,6760,6681.08,6726.22
1585198800000,67.1529205995,6629.44,6711.23,6616,6689.31
1585202400000,72.5836504743,6640.16,6680.01,6586,6629.99
1585206000000,118.9820775868,6587.45,6640.16,6562,6640.16
1585209600000,73.6775769945,6616.66,6635.55,6571,6591.18
1585213200000,48.730865379,6621.32,6647.41,6603.68,6616.66
1585216800000,46.25383986,6620,6642.85,6587.26,6621.32
1585220400000,130.749549555,6606.99,6669.47,6588.46,6618.07
1585224000000,101.2127581587,6623.44,6637.51,6580,6607.5
1585227600000,223.305445886,6638.58,6684.16,6519,6625
1585231200000,65.8867702652,6593.7,6635.07,6584.38,6635.07
1585234800000,33.2083892131,6613.43,6619.39,6565.45,6593.7
1585238400000,61.8237115652,6640.86,6660,6593.36,6619.12
1585242000000,28.18818031,6633.84,6679,6616.12,6640.86
1585245600000,9.1734593175,6651.2,6654.57,6628.58,6633.84
1585249200000,21.0948431379,6660,6673.46,6638.32,6650.5
1585252800000,38.8693060803,6720.04,6734.45,6652.75,6660
1585256400000,39.0320634055,6714.7,6750,6695.99,6722.22
1585260000000,19.6507305624,6700.35,6719.32,6672.83,6716.18
1585263600000,73.6334963033,6737,6760,6692.19,6700.81
1585267200000,164.5039980384,6805.64,6840.59,6738.04,6738.04
1585270800000,62.0828300626,6796.54,6823.2,6758.42,6808.38
1585274400000,28.2329172749,6788.69,6800.38,6753,6800.38
1585278000000,40.66902063,6791.33,6801.58,6778.603,6789.76
1585281600000,71.4824904146,6734.35,6824.46,6729.01,6791.33
1585285200000,147.52434091,6655.06,6740.06,6621.41,6739.2
1585288800000,32.0094181434,6676.57,6695.99,6637.98,6659.1
1585292400000,52.118671065,6699.03,6728.08,6673.88,6680.1
1585296000000,37.6873467821,6674.67,6698.64,6670,6698.64
1585299600000,45.9089122377,6648.94,6689.11,6642.85,6678.07
1585303200000,66.4449915485,6643.4,6677.52,6600.07,6648.94
1585306800000,59.06017712,6620.26,6690,6620,6643.4
1585310400000,106.1664650608,6634.02,6663.93,6588,6622.22
1585314000000,96.53462166,6594.51,6642.74,6575,6634.02
1585317600000,46.6491706209,6617.4,6623.59,6580.34,6594.89
1585321200000,35.12902313,6621.94,6656.51,6610.84,6616.01
1585324800000,26.8478772636,6642.77,6663.92,6591.85,6625.48
1585328400000,23.2836354089,6636.07,6652.74,6606.67,6642.77
1585332000000,10.9272944499,6649.18,6662.66,6625.06,6636.07
1585335600000,18.9460250787,6657.26,6684.99,6639.22,6649.18
1585339200000,4.6776327741,6670.26,6674.57,6633.81,6657.91
1585342800000,16.08996363,6675.28,6695.31,6655.68,6675.85
1585346400000,12.1212159847,6662.78,6676.5,6644.88,6675.01
1585350000000,400.3816782399,6361.81,6662.04,6289,6660.43
1585353600000,316.1003161798,6310.74,6361.81,6210,6361.81
1585357200000,109.5025235235,6275.38,6310.89,6251.81,6309.67
1585360800000,64.706125226,6255.97,6280.42,6233.18,6274.59
1585364400000,301.2005797789,6119.95,6262.96,6072.34,6255.97
1585368000000,124.4378736506,6173.43,6200,6097.92,6120.5
1585371600000,55.2420049254,6165.04,6191.77,6142.85,6173.43
1585375200000,93.607873635,6159.95,6172.5,6123.61,6165.18
1585378800000,115.3923447326,6185.71,6193.77,6164.95,6164.95
1585382400000,95.43361822,6256.4,6265.78,6168.1,6182.73
1585386000000,54.0417954807,6253.16,6286.72,6234.61,6258.25
1585389600000,69.0748866676,6261.33,6275.53,6216.46,6253.16
1585393200000,92.3945976,6234.35,6314.73,6226.03,6260
1585396800000,43.108796369,6236.1,6255.68,6214.28,6237.41
1585400400000,195.954141865,6222.96,6244.08,6164.46,6235.51
1585404000000,40.2274711733,6237.49,6248.76,6222,6222.96
1585407600000,186.71397781,6215.14,6267.92,6207.2,6237.35
1585411200000,22.4427135671,6231.99,6241.78,6197.22,6214.09
1585414800000,160.7543602597,6029.63,6236.91,6027.69,6232.01
1585418400000,119.8688013014,6165.63,6250,6026,6030.1
1585422000000,28.33562473,6215,6228.69,6170.19,6170.19
1585425600000,63.2425336662,6245.02,6293,6211.84,6211.85
1585429200000,51.0032016347,6217.97,6260.46,6170.19,6245.02
1585432800000,42.3769456336,6211.72,6244.77,6176.4,6219.6
1585436400000,35.8903591,6238,6265.78,6181.08,6211.72
1585440000000,48.5735381243,6208.37,6263.93,6194,6240.86
1585443600000,22.8863205707,6214.2,6223.25,6186.62,6212.31
1585447200000,19.0164460208,6200,6225.31,6197.92,6214.96
1585450800000,32.6842231146,6209.58,6213.97,6183.11,6201.35
